No,チャプター,質問,解答
510,アメリカの発展,『落穂拾い』で有名なフランスの自然主義画家は誰か,ミレー
511,アメリカの発展,市民社会の客観的な認識に努め社会学を創始したフランスの哲学者は誰か,コント
512,アメリカの発展,ドイツ関税自主権や保護貿易主義の理論を提起したドイツの経済学者は誰か,リスト
513,アメリカの発展,厳密な資料批判と客観的叙述により近代歴史学の祖と言われるドイツの歴史学者は誰か,ランケ
514,アメリカの発展,エネルギー保存の法則の発見に貢献したドイツの科学者を2名挙げよ,マイヤー、ヘルムホルツ
515,アメリカの発展,『種の起源』を表して生物進化論を唱えたイギリスの生物学者は誰か,ダーウィン
516,アメリカの発展,電信機を発明し独特の符号による通信を考案した発明家は誰か,モールス
517,アメリカの発展,1876年電話機を発明したアメリカの発明家は誰か,ベル
518,アメリカの発展,米英戦争が始まった年号は何か,1812年
519,アメリカの発展,南北戦争が始まった年号は何か,1861年
520,アメリカの発展,リンカーンにより奴隷解放宣言が発せられた年号は何か,1863年
521,アメリカの発展,アメリカ政府がフロンティアの消滅を発表した年号は何か,1890年
522,アメリカの発展,プラット条項が出された年号は何か,1901年
523,植民地化,1699年オスマン帝国がハンガリー・トランシルヴァニアなどをオーストリアに割譲した条約を何と言うか,カルロヴィッツ条約
524,植民地化,18世紀の中頃アラビア半島のネジド地方に起こったイスラム教の一派でムハンマドの最初の教えに帰れと説いた新宗教を何というか,ワッハーブ派
525,植民地化,19世紀前半にイランに起こったバーブ教の創始者は誰か,サイイド・アリー・ムハンマド（バーブ）
526,植民地化,オスマン帝国のアブデュルメジト1世が1839年に開始した行政・財政・軍政などの西洋化への改革を何と言うか,タンジマート（恩恵改革）
527,植民地化,オスマン帝国は1876年初の憲法を制定して立憲議会と責任内閣制を始めたがこの憲法を何と言うか,ミドハト憲法
528,植民地化,カージャール朝が1828年にロシアと締結した条約を何というか,トルコマンチャーイ条約
529,植民地化,バーブ教徒が1848年にイギリス・ロシアへの屈従を拒んで武装蜂起した反乱をなんというか,バーブ教徒の乱
530,植民地化,1757年イギリス東インド会社軍がフランスとベンガル太守の連合軍を撃破したがこの戦いをなんというか,プラッシーの戦い
531,植民地化,イギリスは1767年から4回にわたってマイソール王国と戦いこれを征服したがこの戦いを何と言うか,マイソール戦争
532,植民地化,イギリスは1775年から3回にわたってマラーター同盟と戦い勝利を収めたがこの戦いを何と言うか,マラーター戦争
533,植民地化,イギリスは1845年から2度にわたってシク教徒と戦いこれに勝って全インドの征服を完成したがこの戦いをなんというか,シク戦争
534,植民地化,1857年5月に起きたインド初の民族的大反乱を何というか,インド大反乱（セポイの反乱）
535,植民地化,オランダが1830年にジャワ全土にサトウキビ・コーヒー・藍などの栽培を農民に強制したことを何と言うか,強制栽培制度
536,植民地化,1826年ペナン島・マラッカ・シンガポールで形成した植民地を何と言うか,海峡植民地
537,植民地化,タイの独立維持と西洋的近代化に努めた国王は誰か,チュラロンコン（ラーマ5世）
538,植民地化,広州（広州）貿易を独占していた清朝特許商人の組合は何か,公行
539,植民地化,イギリスは18世紀末から19世紀にかけて中国茶をイギリス本国へ・イギリス本国の綿製品などをインドへ・インド産アヘンを中国へ運ぶ貿易を行っていたがこれを何というか,三角貿易
540,植民地化,アヘン密貿易の取り締まりを強行した清国に対しイギリスが行った侵略戦争を何と言うか,アヘン戦争
541,植民地化,アヘン戦争での講和条約を何というか,南京条約
542,植民地化,1860年に結ばれた清朝とイギリス・フランスとのアロー戦争の講和条約を何と言うか,北京条約
543,植民地化,ロシアが1858年清朝と国境を定め黒竜江の地を手に入れた条約を何と言うか,アイグン条約
544,植民地化,日本海に臨む港市でロシアの極東経営の拠点になったのはどこか,ウラジオストク
545,植民地化,1851年1月広西省で起こった近代中国における最大の反乱を何というか,太平天国の乱
546,植民地化,太平天国軍は南京占領直後土地均分・男女平等などを盛り込んだ理想主義的な社会制度を交付したがこれを何というか,天朝田畝制度
547,植民地化,1860年頃から清では漢人官僚が中心になって西洋の軍事技術を導入したがこの富国強兵運動を何と言うか,洋務運動
548,植民地化,1875年に日本が朝鮮沿岸で挑発的な海軍演習や航路測量を行ったことで朝鮮軍の砲撃を受けたがこの事件を何というか,江華島事件
549,植民地化,閔妃の一族は1873年に李朝政権を掌握したがこの王妃一族を何というか,閔氏
550,植民地化,金玉均を中心とする開化派が1884年に起こしたクーデターを何というか,甲申政変
551,植民地化,李朝末期の1860年頃に崔済愚が創始した新しい宗教を何というか,東学
552,植民地化,甲午農民戦争の指導者で日本軍らにより捕らえられ処刑されたのは誰か,全琫準
553,植民地化,アヘン戦争が起きた年号は何か,1840年
554,植民地化,アロー戦争が始まった年号は何か,1856年
555,植民地化,アイグン条約が結ばれた年号は何か,1858年
556,植民地化,江華島事件が起きた年号は何か,1875年
557,植民地化,甲午農民戦争が起きた年号は何か,1894年
558,帝国主義,独占的大企業が支配的な段階で産業資本と銀行資本とが融合して形成された独占資本を何と言うか,金融資本
559,帝国主義,国際スエズ運河株式会社の財政難につけ込んで会社の支配権を獲得したイギリスの首相は誰か,ディズレーリ
560,帝国主義,保護関税策を主張し植民地大臣として南アフリカ戦争を遂行、イギリスの帝国主義政策を推進した政治家は誰か,ジョセフ・チェンバレン
561,帝国主義,1890年代頃のフランスで起こったユダヤ系軍人がスパイ容疑で逮捕された事件の真相究明が政治問題化した出来事を何と言うか,ドレフュス事件
562,帝国主義,ビスマルクがドイツ首相を辞任した後「世界政策」と呼ばれる帝国主義政策を積極的に推進したのは誰か,ヴィルヘルム2世
563,帝国主義,ロシア社会民主労働党が1903年に分裂した左派の人々を何と言うか,ボリシェヴィキ
564,帝国主義,ロシア社会民主労働党の中心的指導者は誰か,レーニン
565,帝国主義,日露戦争中生活に困窮したペテルブルクの労働者・市民たちが皇帝に請願のデモを起こし軍隊と衝突した事件を何と言うか,血の日曜日事件
566,帝国主義,第1次ロシア革命をなだめるため皇帝は国会の開設と憲法制定を約束したこの宣言を何というか,十月宣言
567,帝国主義,革命運動の弾圧や議会の解散などの反動政策を行う一方ロシアの古い農村共同体を解体して土地改革を進め資本主義化を促した政治家とは誰か,ストルイピン
568,帝国主義,米西戦争・ハワイ併合などを行ったアメリカ大統領は誰か,マッキンリー
569,帝国主義,革新主義を掲げ独占の規制・自然資源の保護を進める一方で帝国主義的政策を行ったアメリカ大統領は誰か,セオドア・ローズヴェルト
570,帝国主義,ケープ植民地首相となりイギリスの帝国主義政策を進めたのは誰か,セシル・ローズ
571,帝国主義,1899年から1902年に起こったケープ植民地の奥に建設した国に対するイギリスの侵略戦争を何と言うか,南アフリカ戦争（ボーア戦争）
572,帝国主義,ドイツの3B政策に対するイギリスの帝国主義政策の略称とは何か,3C政策
573,帝国主義,1898年英仏のアフリカ政策がナイル川の地で衝突した事件を何と言うか,ファショダ事件
574,帝国主義,1884年から85年列強のアフリカ分割の協定を作るためビスマルクが開いた会議を何と言うか,ベルリン会議
575,帝国主義,18世紀末からイギリスの植民地として開拓され19世紀に牧羊や鉱山の開発で急速に発展し1901年にイギリスの自治領となった国はどこか,オーストラリア
576,帝国主義,オーストラリア連邦の先住民を何というか,アボリジニ
577,帝国主義,19世紀末に起こった米西戦争の時期にアメリカに併合された太平洋上の島を何というか,ハワイ
578,帝国主義,アメリカの指導のもとに南北アメリカの諸国が政治・経済的な団結を図って開いた会議を何というか,パン・アメリカ会議
579,帝国主義,1903年アメリカの援助のもとでコロンビア共和国から独立した国はどこか,パナマ共和国
580,帝国主義,英仏協商・英露協商によって成立したイギリス・フランス・ロシア間でのドイツ包囲に向けた協力体制を何というか,三国協商
581,帝国主義,スラブ民族の団結と発展を目指す運動・思想を何と言うか,パン・スラブ主義
582,帝国主義,露土戦争の結果トルコから独立したスラブ系の民族でオーストリアと対立しパン・スラブ主義の先頭に立った国はどこか,セルビア
583,帝国主義,1908年に起こった青年トルコ人革命に乗じてオーストリア・ハンガリー帝国が併合したトルコ領土の一部はどこか,ボスニア・ヘルツェゴヴィナ
584,帝国主義,ドイツ・ロシア・オーストリアで三帝同盟を結んだ年号は何か,1873年
585,帝国主義,ファショダ事件が起きた年号は何か,1898年
586,帝国主義,フランスがチュニジアを保護国化した年号は何か,1881年
587,帝国主義,アドワの戦いが起きた年号は何か,1896年
588,帝国主義,アルヘシラス会議が開かれた年号は何か,1906年
589,アジアの改革,三国干渉の報酬としてロシアが中国から獲得した利権により敷設された鉄道を何というか,東清鉄道
590,アジアの改革,ロシアが極東政策の一環としてフランス資本を導入して敷設した鉄道を何というか,シベリア鉄道
591,アジアの改革,中国侵略で列国に遅れたアメリカが自国の権益を確立するために表明した声明を何というか,門戸開放宣言（門戸開放通牒）
592,アジアの改革,門戸開放宣言を発表したのは誰か,ジョン・ヘイ
593,アジアの改革,19世紀末中国における立憲君主制国家の樹立を目指した改革運動を何というか,変法運動
594,アジアの改革,変法運動の中心的人物となった公羊学者・政治家は誰か,康有為
595,アジアの改革,変法運動が弾圧され改革を進めた人々は失脚し皇帝が幽閉された事件を何と言うか,戊戌の政変
596,アジアの改革,変法運動は清朝内部の守旧派勢力に反対され弾圧されたがこの勢力の中心人物とは誰か,西太后
597,アジアの改革,1900年頃に河北に起こり「扶清滅洋」を掲げた大規模な民衆反乱を何というか,義和団事件
598,アジアの改革,義和団事件後列強と清で締結した講和条約を何と言うか,北京議定書
599,アジアの改革,1904年に始まった日本・ロシア間の朝鮮と中国東北部をめぐる戦争を何と言うか,日露戦争
600,アジアの改革,日露戦争を締めくくることになるアメリカ大統領セオドア・ローズヴェルトが斡旋者となった講和条約を何というか,ポーツマス条約
601,アジアの改革,1909年に伊藤博文を暗殺したのは誰か,安重根
602,アジアの改革,動揺する清朝専制支配体制の打倒を目指し広東出身者と華僑たちが組織した中国革命の結社を何というか,興中会
603,アジアの改革,興中会を結成した中国革命の指導者は誰か,孫文
604,アジアの改革,興中会は同様な目的を持つ他の結社と結合して強力な組織となったがそれは何か,中国同盟会
605,アジアの改革,孫文が中国革命の基本理念とした思想を何と言うか,三民主義
606,アジアの改革,清朝政府の幹線鉄道の国有化に反対し中国各地で反対運動が盛り上がり数ヶ月の間に14省が清朝からの分離独立を宣言した一連の動きを何というか,辛亥革命
607,アジアの改革,1912年1月南京で孫文を臨時大総統として発足した共和国をなんというか,中華民国
608,アジアの改革,孫文に次いで中華民国の臨時大総統に就任したのは誰か,袁世凱
609,アジアの改革,1885年に開かれたインドの民族主義運動を鎮めるために親英協調を図った会議を何というか,インド国民会議
610,アジアの改革,インドの反英民族主義運動の進展に対しイギリスはインド人の宗教的対立を利用して法律を発布し運動の分断を図ったがこの法律名をなんというか,ベンガル分割令
611,アジアの改革,フランスからの独立を求めるベトナム民族主義運動の指導的役割を果たしたのは誰か,ファン・ボイ・チャウ
612,アジアの改革,フィリピンの独立を認めないアメリカに対し反米独立運動を行った民族運動の指導者は誰か,アギナルド
613,アジアの改革,1906年に結成されたインドのイスラム教徒を支援した政治団体を何というか,全インド・ムスリム連盟
614,アジアの改革,19世紀末カージャール朝イランに対する抵抗運動を何というか,タバコ・ボイコット運動
615,アジアの改革,イランでは1905年から11年にかけて英露の侵略とこれに従属する政府に対し民衆が専制政治の改革を求めた運動を何というか,イラン立憲革命
616,アジアの改革,日露戦争が起きた年号は何か,1904年
617,アジアの改革,陳独秀が文学革命論を発表した年号は何か,1917年
618,アジアの改革,日本が対華21か条要求を提示した年号は何か,1915年
619,アジアの改革,辛亥革命が起きた年号は何か,1911年
620,アジアの改革,タバコ・ボイコット運動が起きた年号は何か,1891年
621,第一次世界大戦,第1次世界大戦の発端となった事件は何か,サライェヴォ事件
622,第一次世界大戦,第1次世界大戦においてドイツ・オーストリア側についた国々を何というか,同盟国
623,第一次世界大戦,第1次世界大戦初期に起きた西部戦線における両国の激戦は何か,マルヌの戦い
624,第一次世界大戦,第1次世界大戦中の東部戦線においてドイツがロシアを破った有名な戦いを何というか,タンネンベルクの戦い
625,第一次世界大戦,1916年7月連合国軍がドイツ軍に大反撃を仕掛けたが決定的な成果が挙げられなかった戦いを何というか,ソンムの戦い
626,第一次世界大戦,ドイツは戦況が不利となったので交戦水域にある船舶の無差別無制限撃沈作戦を立てたがこれを何というか,無制限潜水艦作戦
627,第一次世界大戦,ロシアにおいて3月革命の発端となった労働者のデモやストライキが起こったのはどこか,ペトログラード
628,第一次世界大戦,3月革命の主体となった労働者と兵士の代表による評議会を何というか,ソヴィエト
629,第一次世界大戦,社会革命党右派に属し臨時政府の指導者となった人物は誰か,ケレンスキー
630,第一次世界大戦,レーニンがロシア帰国後に発表した革命の基本方針を何と言うか,四月テーゼ
631,第一次世界大戦,1917年11月レーニンらが社会主義政権を樹立した革命を何というか,11月革命（十月革命）
632,第一次世界大戦,11月革命の直後ロシア最初の普通選挙で選出された議会を何と言うか,憲法制定議会
633,第一次世界大戦,1918年ソ連（ロシア）とドイツ・オーストリア間で成立した講和条約を何というか,ブレスト・リトフスク条約
634,第一次世界大戦,ソヴィエト政権で外務人民委員・陸海軍人民委員を歴任し永久革命論を唱えた人物は誰か,トロツキー
635,第一次世界大戦,1918年に社会民主労働党は何に改称したか,ロシア共産党
636,第一次世界大戦,ロシア革命後の義勇兵・のちに徴兵制により創設されたソヴィエト政権の軍隊を何と言うか,赤軍
637,第一次世界大戦,1919年3月に創設されたソ連共産党を中心とした各国共産主義勢力の連帯組織で世界革命を目指した国際組織を何というか,コミンテルン（第3インターナショナル）
638,第一次世界大戦,ロシア革命直後内戦と干渉戦争に対処するために取られたソ連の経済政策を何と言うか,戦時共産主義
639,第一次世界大戦,ロシア革命後生産回復のため若干の小企業や小作農の経営を認めその生産意欲を刺激するために取られた経済政策は何か,新経済政策（ネップ）
640,第一次世界大戦,サライェヴォ事件が起きた年号は何か,1914年
641,第一次世界大戦,タンネンベルクの戦いが始まった年号は何か,1914年
642,第一次世界大戦,ロマノフ朝が倒れた年号は何か,1917年
643,第一次世界大戦,コミンテルンが結成された年号は何か,1919年
644,第一次世界大戦,ドイツが無制限潜水艦作戦を強行した年号は何か,1917年
645,戦間期,1919年1月に開かれた第1次世界大戦の終結のための会議を何と言うか,パリ講和会議
646,戦間期,パリ講和会議の基礎となった原則をなんというか,ウィルソンの十四か条
647,戦間期,ウィルソンの十四か条提案に基づいて1920年に正式に設立された集団的国際安全保障機構は何と言うか,国際連盟
648,戦間期,第1次世界大戦後に結ばれた集団安全保障条約でラインラントの非武装化・現状維持を定めた条約を何と言うか,ロカルノ条約
649,戦間期,アメリカ大統領ハーディングの提唱で開かれた国際会議で主として軍縮問題を審議した会議を何というか,ワシントン会議
650,戦間期,1926年のイギリス帝国会議以後イギリス本国と全植民地の総称は何と変更されたか,イギリス連邦
651,戦間期,1919年アイルランドのシン・フェイン党は独立を宣言し22年には自治領としてイギリスもその独立を認めた国はどこか,アイルランド自由国
652,戦間期,第1次世界大戦後フランスの外相・首相を歴任しロカルノ条約・不戦条約を成立させた人物は誰か,ブリアン
653,戦間期,第1次世界大戦後ドイツで制定された当時世界で最も民主的な内容を持つと言われた憲法の名称を一般になんというか,ワイマール憲法
654,戦間期,ワイマール共和国の初代大統領は誰か,エーベルト
655,戦間期,ワイマール共和国の政治家で首相として通貨の安定・経済の再建を図り協調外交を積極的に推進した人物は誰か,シュトレーゼマン
656,戦間期,アメリカ合衆国が中心となってドイツの賠償金を緩和するために1924年に考案された方式を何というか,ドーズ案
657,戦間期,旧来の議会政治では対処できないような革命的状況の時に出現する反社会主義・反民主主義的な政治運動形態を何と言うか,ファシズム
658,戦間期,1919年ムッソリーニが反革命を目的とし保守層・中間層・農民の支持を受け結成した政党を何というか,ファシスト党
659,戦間期,1922年10月ムッソリーニが政権獲得のため強行したファシストのクーデターを一般になんというか,ローマ進軍
660,戦間期,ソ連一国だけで社会主義化が可能なことを主張した理論を何というか,一国社会主義論
661,戦間期,1915年日本が中国の袁世凱政府に要求したものを何と言うか,対華21か条要求
662,戦間期,日露戦争期に日本に留学し文学革命時に『狂人日記』『阿Q正伝』を発表した作家は誰か,魯迅
663,戦間期,日本の朝鮮における植民地支配の最高機関を何と言うか,朝鮮総督府
664,戦間期,第1次世界大戦後に朝鮮で起きた日本の支配からの独立を目指し朝鮮独立万歳を叫ぶ事件を何と言うか,三・一独立運動
665,戦間期,中国で学生・市民・労働者を含んで広まった21か条要求を認めるヴェルサイユ条約の破棄を目指した運動を何というか,五・四運動
666,戦間期,中国革命の中心的政党で1919年孫文を中心に組織されたものを何というか,中国国民党
667,戦間期,1924年コミンテルンの指導のもとに中国の革命勢力の統一が進んだことを何というか,第1次国共合作
668,戦間期,孫文の死後国民革命軍総司令として北伐を開始したが1927年のクーデターで国共分裂に踏み切った人物は誰か,蒋介石
669,戦間期,1927年蒋介石が上海で断行した反共クーデターを何というか,上海クーデター
670,戦間期,蒋介石を主席として南京に成立した政府を何というか,南京国民政府
671,戦間期,1919年インド政府が発表した反英運動を弾圧する法はなんというか,ローラット法
672,戦間期,ガンディーが主として指導した反英運動の方式はなんというか,非暴力・不服従
673,戦間期,ガンディーの後を受けインド国民会議派の代表として反英独立運動を進め独立後に初代首相となった人物は誰か,ネルー
674,戦間期,インドネシア独立運動の指導者でオランダから独立して初代大統領に就任したのは誰か,スカルノ
675,戦間期,ベトナム共産党の指導者で独立後初代大統領となったのは誰か,ホー・チ・ミン
676,戦間期,セーヴル条約を破棄して1923年に新しいトルコ政権が連合国と結んだ条約を何と言うか,ローザンヌ条約
677,戦間期,19世紀末各地のユダヤ人がパレスチナ地方に復帰して国家を建設しようとする運動を何というか,シオニズム運動
678,戦間期,1915年イギリスがアラブ人の戦争協力を条件としてアラブ人居住地区の独立を認めた約束を何というか,フセイン・マクマホン協定
679,戦間期,ユダヤ系金融資本の協力を得るためにイギリス外相が結んだ戦後にユダヤ人がパレスチナに建国するという約束を何というか,バルフォア宣言
680,戦間期,五・四運動が起きた年号は何か,1919年
681,戦間期,上海クーデターが起きた年号は何か,1927年
682,戦間期,四カ国条約で日英同盟が破棄された年号は何か,1921年
683,戦間期,国際連盟が発足した年号は何か,1920年
684,戦間期,不戦条約が結ばれた年号は何か,1928年
685,第二次世界大戦,1929年アメリカ合衆国の株価暴落に始まり世界を一大不況に陥れた経済界の変動を何というか,世界恐慌
686,第二次世界大戦,恐慌克服のためアメリカにおいて自由放任経済を抑え国家的統制を加えたフランクリン・ローズヴェルトの政策を何と言うか,ニューディール政策
687,第二次世界大戦,1931年にイギリスで成立した挙国一致内閣が断行した金融政策で国際的に大きな波紋を投げかけた政策を何というか,金本位制停止
688,第二次世界大戦,1931年イギリス連邦の成立を定めた立法を何というか,ウェストミンスター憲章
689,第二次世界大戦,イギリスの恐慌克服のため開かれたイギリス連邦経済会議を何と言うか,オタワ連邦会議
690,第二次世界大戦,オタワ連邦会議で本国と自治領の特定関税制度を中心として取られた経済方式を何というか,ブロック経済政策
691,第二次世界大戦,日本の関東軍による中国東北地方への侵略戦争を何と言うか,満州事変
692,第二次世界大戦,満州国の執政になったのは誰か,溥儀
693,第二次世界大戦,長征の中で共産党内の主導権を握り革命後に主席として絶大な力を持った人物は誰か,毛沢東
694,第二次世界大戦,長征の過程で中国共産党が内戦の停止と統一戦線の結成を呼びかけたものは何か,八・一宣言
695,第二次世界大戦,1936年に起こったスペイン内乱の中心人物は誰か,フランコ将軍
696,第二次世界大戦,1938年ヒトラーがイギリス・フランスの反対を押し切り軍隊を侵入させて併合した国はどこか,オーストリア
697,第二次世界大戦,1938年ズデーテン地方について独・意・英・仏の首脳が会談し英仏の妥協でヒトラーの要求を認めた会談をなんというか,ミュンヘン会談
698,第二次世界大戦,第2次世界大戦前ヒトラーの要求に対し平和的解決を目指して妥協したためにかえって侵略を助長したと言われる政策は何か,融和政策
699,第二次世界大戦,イギリス・フランスの融和政策に対しドイツとソ連がポーランド侵入直前に結んだ条約を何と言うか,独ソ不可侵条約
700,第二次世界大戦,フランス降伏後ロンドンに亡命し自由フランス政府を樹立して対独抗戦を続けた人物は誰か,ド・ゴール
701,第二次世界大戦,南方進出を目指した日本とドイツの脅威を受けたソ連が太平洋戦争直前に結んだ条約を何と言うか,日ソ中立条約
702,第二次世界大戦,第2次世界大戦でドイツの猛攻に屈せずイギリスを守り連合軍の中心人物でもあった首相は誰か,チャーチル
703,第二次世界大戦,第2次世界大戦開始後日本とドイツ・イタリアとの間で結ばれたものでアメリカを仮想敵国としている条約を何というか,日独伊三国同盟
704,第二次世界大戦,太平洋戦争の皮切りとなった日本側の奇襲攻撃を何というか,真珠湾攻撃
705,第二次世界大戦,1941年末に始まった日本とアメリカ・イギリスの戦争を何と言うか,太平洋戦争
706,第二次世界大戦,日本を盟主とする東アジアの軍事・政治・経済ブロックで互いに助け合うこととした当時の思想で日本の侵略行為を正当化したと一般に評価される用語を何というか,大東亜共栄圏
707,第二次世界大戦,日中戦争以後日本は朝鮮の植民地支配を強化するため朝鮮人固有の姓名を廃止して日本人式の姓名に改めるようにしたがこれを何というか,創氏改名
708,第二次世界大戦,1943年ドイツ軍が壊滅し独ソ戦の決定的な転機となった戦いを何というか,スターリングラードの戦い
709,第二次世界大戦,連合国首脳が主として日本問題について会談し宣言したものを何と言うか,カイロ宣言
710,第二次世界大戦,連合国の首脳が1943年11から12月主に第二戦線問題を協議した会議を何というか,テヘラン会談
711,第二次世界大戦,1944年米軍を主力とする本格的な上陸作戦はどこで行われたか,ノルマンディー
712,第二次世界大戦,1945年2月ローズヴェルト・チャーチル・スターリンは戦後処理について会談しソ連の対日参戦についても話し合い参戦が決定した会談をなんというか,ヤルタ会談
713,第二次世界大戦,太平洋戦争で連勝の日本軍にとって大敗の契機となった海戦を何というか,ミッドウェー海戦
714,第二次世界大戦,1945年7月末に連合国を発した対日共同宣言を何と言うか,ポツダム宣言
715,第二次世界大戦,世界恐慌が始まった年号は何か,1929年
716,第二次世界大戦,満州事変が起きた年号は何か,1931年
717,第二次世界大戦,日ソ中立条約が結ばれた年号は何か,1941年
718,第二次世界大戦,真珠湾攻撃が発生した年号は何か,1941年
719,第二次世界大戦,カイロ会談が開催された年号は何か,1943年
720,戦後と冷戦,ローズヴェルトとチャーチルの大西洋会談で成立したもので戦後の国際協調の構想を示したものを何というか,大西洋憲章
721,戦後と冷戦,1945年50カ国の代表によって国際連合憲章を採択した会議を何と言うか,サンフランシスコ会議
722,戦後と冷戦,国連の機構の中で最も有力な機関で国際紛争解決の権限を持っているものを何というか,安全保障理事会
723,戦後と冷戦,安全保障理事会の中で5つの常任理事国だけが保有している権限をなんというか,拒否権
724,戦後と冷戦,国連の専門機関で国際的な為替安定を図ろうとするために設立された機関を何と言うか,国際通貨基金（IMF）
725,戦後と冷戦,第2次世界大戦後の直接的な軍事衝突によらないアメリカ・ソ連の対立を一般になんというか,冷たい戦争（冷戦）
726,戦後と冷戦,ソ連勢力の拡大防止のためトルコ・ギリシャへの援助を行おうとするアメリカ大統領の声明を何というか,トルーマン・ドクトリン
727,戦後と冷戦,トルーマン・ドクトリン以降のアメリカの対ソ基本政策を何というか,封じ込め政策
728,戦後と冷戦,第2次世界大戦後アメリカによるヨーロッパの経済復興のための援助計画を何というか,マーシャル・プラン
729,戦後と冷戦,1947年ソ連を中心として東欧9カ国の共産党が結成した国際組織を何と言うか,コミンフォルム
730,戦後と冷戦,1949年ソ連と東欧諸国との間で結ばれた経済協力機構を何と言うか,コメコン（経済相互援助会議）
731,戦後と冷戦,1949年米・英・仏・意を中心に12カ国で結成された集団安全保障の軍事機構は何か,北大西洋条約機構（NATO）
732,戦後と冷戦,1949年にドイツは東西2つの国に分裂したがそのうち西側のキリスト教民主同盟を指導して首相となった人物は誰か,アデナウアー
733,戦後と冷戦,1955年ソ連を中心とする東欧8カ国が北大西洋条約機構に対抗して結成した機構を何というか,ワルシャワ条約機構
734,戦後と冷戦,中国共産党が1949年10月北京で成立を宣言した毛沢東を国家主席とする国はどこか,中華人民共和国
735,戦後と冷戦,1950年中国とソ連との間で結ばれた軍事同盟を何と言うか,中ソ友好同盟相互援助条約
736,戦後と冷戦,ベトナムで日本の敗戦直後直ちにハノイで独立宣言を行った国はどこか,ベトナム民主共和国
737,戦後と冷戦,日本の敗戦直後独立したベトナム民主共和国がフランスと戦い勝利を得たこの戦争を何と言うか,インドシナ戦争
738,戦後と冷戦,インドシナ戦争を終結させた協定を何というか,ジュネーヴ休戦協定
739,戦後と冷戦,1965年マレーシアから分離独立した国はどこか,シンガポール
740,戦後と冷戦,住民はイスラム系で藩主がヒンドゥー系のためインド・パキスタン間で争奪の標的となった問題を何というか,カシミール帰属問題
741,戦後と冷戦,1948年にイスラエルの建国を認めないアラブ諸国とイスラエルとの間で始まった戦争を何と言うか,パレスチナ戦争（第1次中東戦争）
742,戦後と冷戦,1950年朝鮮半島の北緯38度線付近で始まった戦争を何というか,朝鮮戦争
743,戦後と冷戦,1951年日本がアメリカを中心とする連合国48カ国と結んだ講和条約を何というか,サンフランシスコ平和条約
744,戦後と冷戦,1953年トルーマンに代わってアメリカ大統領となり米ソ両国の話し合いの兆しを作った共和党の大統領は誰か,アイゼンハワー
745,戦後と冷戦,1958年にフランス・西ドイツ・イタリアなどが発足させた経済的統合体に発展した機関を何と言うか,ヨーロッパ経済共同体（EEC）
746,戦後と冷戦,ヨーロッパ経済共同体が1967年ヨーロッパ原子力共同体などと合併して西ヨーロッパ統合の基礎となったがこれを何というか,ヨーロッパ共同体（EC）
747,戦後と冷戦,中華人民共和国が成立した年号は何か,1949年
748,戦後と冷戦,インドシナ戦争が始まった年号は何か,1946年
749,戦後と冷戦,朝鮮戦争が休戦した年号は何か,1953年
750,戦後と冷戦,第1次中東戦争が発生した年号は何か,1948年
751,戦後と冷戦,パレスチナ分割案が出された年号は何か,1947年
752,第三世界,1955年アジア・アフリカの29カ国の首脳がインドネシアに参集し平和10原則などを採択した会議を何と言うか,アジア・アフリカ会議（バンドン会議）
753,第三世界,エジプト革命の指導者で1956年に大統領となりスエズ運河国有化やダムの建設などを行った人物は誰か,ナセル
754,第三世界,ナセルが実現させたナイル渓谷の巨大なダムを何というか,アスワン・ハイ・ダム
755,第三世界,1956年ナセルのスエズ運河国有化宣言に対しイスラエルがエジプトに侵入し続いて英仏軍が出兵した戦争を何というか,スエズ戦争（第2次中東戦争）
756,第三世界,フランスに対する長い民族解放戦争の結果1962年にド・ゴール政府によって独立を承認された国はどこか,アルジェリア
757,第三世界,アフリカで一挙に17の（新興）独立国が生まれた1960年は何と呼ばれるか,アフリカの年
758,第三世界,1959年ラテンアメリカで最初の社会主義政権を樹立した革命を何というか,キューバ革命
759,第三世界,1962年ソ連のミサイルのキューバへの持ち込みに端を発した米ソの国際的対立を何と言うか,キューバ危機
760,第三世界,1957年に開かれたバートランド・ラッセルらの科学者による核兵器禁止の会議を何と言うか,パグウォッシュ会議
761,第三世界,中国では1958年から工業生産の増大を図る運動があったそのため村を単位とする農業集団化が強行されたがその組織体をなんというか,人民公社
762,第三世界,1966年以降中国において文芸作品批判から始まった運動が劉少奇ら有力幹部の失脚にも及んだ権力闘争を何と言うか,プロレタリア文化大革命
763,第三世界,文化大革命で失脚した中国の指導者で華国鋒の後党内最大の実力者となった人物は誰か,鄧小平
764,第三世界,1965年のアメリカによる北爆以降一層拡大したアジアの戦争を何というか,ベトナム戦争
765,第三世界,1969年ジョンソンの後を受けて就任しベトナムからの段階的撤兵に転じたアメリカの大統領は誰か,ニクソン
766,第三世界,大韓民国における1961年の軍事クーデターを指導し63年に大統領に就任した人物は誰か,朴正熙
767,第三世界,インドネシア初代大統領であるスカルノが失脚した1965年の事件を何と言うか,9・30事件
768,第三世界,9・30事件後大統領となった人物は誰か,スハルト
769,第三世界,1967年インドネシア・マレーシア・フィリピン・シンガポール・タイの5カ国で結成された経済的な協力機構を何というか,東南アジア諸国連合（ASEAN）
